Id,Designator,Quantity,Designation
1,"REF**,REF**,REF**,REF**",4,MountingHole_3.7mm_Pad
2,"K3,K1,K2",3,RELAY_2
3,"C1,C13",2,2F
4,"C2,C3",2,10u
5,"C4,C7,C9,C10,C11,C12",6,100n
6,C5,1,10M
7,C6,1,10n
8,C8,1,2.2M
9,"D1,D3,D2",3,SK22
10,J1,1,Power Switch
11,J3,1,AUX
12,J4,1,E2V
13,J5,1,LPS
14,J6,1,Pump Cold Side
15,J7,1,Pump Hot Side
16,J8,1,HPS
17,"R1,R2,R6,R7,R10,R12,R13,R14,R15",9,4k7
18,"R3,R4,R5",3,270R
19,"R8,R9",2,0R22
20,R11,1,1K5
21,S1,1,SB2P
22,T1,1,BC817
23,"U1,U2",2,NCP1117-3.3_SOT223
24,U3,1,Mean Well PM-15-5
25,U4,1,Omega2
26,U5,1,STM32F030K6Tx
27,U7,1,MCP4706A0T-E/CH
28,"U8,U9",2,G3MB-5V-SSR
29,X1,1,SWD
30,X2,1,I2C Cold Side
31,X3,1,I2C Hot Side
32,X4,1,I2C Aux
33,D4,1,LED_RGB
34,"R16,R17,R18",3,4R7/2W
35,J10,1,Service
36,U6,1,DRV8833
37,J13,1,SSR 220
38,J14,1,SSR 0-5V
39,J15,1,Compressor L1
40,J16,1,Compressor L2
41,J17,1,Compressor L3
42,J18,1,SSR Output L1
43,J19,1,SSR Output L2
44,J20,1,SSR Output L3
45,J21,1,SSR Input L1
46,J22,1,SSR Input L2
47,J23,1,SSR Input L3
48,J2,1,Mains L1
49,J9,1,Mains L2
50,J11,1,Mains L3
51,J12,1,Mains N
52,REF***,1,OSHW-Logo_11.4x12mm_SilkScreen
